county,area,name,uri,park_department
Marin County,northbayhikes,Abbotts Lagoon Trail,northbayhikes/abbottslagoon.html,National Park Service
Santa Clara County,southbayhikes,Acorn Trail,southbayhikes/arastradero.html,
Santa Clara County,southbayhikes,Baylands Preserve,southbayhikes/baylands.html,
Santa Clara County,southbayhikes,Hidden Villa,southbayhikes/hiddenvilla.html,
Wunderlich County Park,southbayhikes,Alambique Trail,southbayhikes/wunderlich.html,County of San Mateo Parks Department
Alameda County,eastbayhikes,Coyote Hills Regional Park,eastbayhikes/coyotehills.html,
Alameda County,eastbayhikes,Quarry Lakes Regional Recreation Area,eastbayhikes/quarrylakes.html,East Bay Regional Park District
Contra Costa County,eastbayhikes,Alamo Trail,eastbayhikes/diablofoothills.html,East Bay Regional Park District
Uvas Canyon County Park,southbayhikes,Alec Cayon Trail,southbayhikes/uvas.html,Santa Clara County Parks
Marin County,northbayhikes,Alexander Trail,northbayhikes/invalley.html,
San Mateo County,southbayhikes,Alpine Pond Trail,southbayhikes/skylinealpine.html,Midpeninsula Regional Open Space District
San Mateo County,southbayhikes,Alpine Road,southbayhikes/coal.html,County of San Mateo Parks Department
San Mateo County,southbayhikes,Alpine Trail,southbayhikes/cmr.html,
Sonoma County Parks,northbayhikes,Alta Vista Trail,northbayhikes/foothill.html,
Marin County,northbayhikes,Alto Bowl Fire Road,northbayhikes/altobowl.html,Marin County Open Space District
San Mateo County,southbayhikes,Ancient Oaks Trail,southbayhikes/russianridge.html,Midpeninsula Regional Open Space District
San Mateo County,southbayhikes,Anniversary Trail,southbayhikes/whsrhg.html,Midpeninsula Regional Open Space District
San Mateo County,southbayhikes,Ao Nuevo Point Trail,southbayhikes/anonuevo2.html,California State Parks
San Mateo County,southbayhikes,Ao Nuevo Trail,southbayhikes/butano.html,California State Parks
Santa Clara County,southbayhikes,Aquinas Trail,southbayhikes/elsereno.html,Midpeninsula Regional Open Space District
Solano County,eastbayhikes,Arch Trail,eastbayhikes/rockville.html,
